Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT3G44620.1,protein tyrosine phosphatases;protein tyrosine phosphatases ,protein phosphatase- Low molecular weight phosphotyrosine ,plastid stroma,
AT3G44620.2,"protein tyrosine phosphatases;protein tyrosine phosphatases; FUNCTIONS IN: protein tyrosine phosphatase activity; INVOLVED IN: protein amino acid dephosphorylation; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein-tyrosine phosphatase/arsenate reductase (InterPro:IPR000106), Protein-tyrosine phosphatase, low molecular weight (InterPro:IPR017867).",protein phosphatase- Low molecular weight phosphotyrosine ,plastid stroma,
AT3G44720.1,Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis.  Not less than six genes encoding ADT were identi&#64257;ed in the Arabidopsis genome: ADT1 [At1g11790]; ADT2 [At3g07630]; ADT3 [At2g27820]; ADT4 [At3g44720]; ADT5 [At5g22630]; and ADT6 [At1g08250].,arogenate dehydratase/ prephenate dehydratase (ADT4),plastid stroma,
AT3G44880.1,Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain ,Pheophorbide a oxygenase (PaO) or ACD1,thylakoid,chloroplast inner membrane
AT3G44890.1,ribosomal protein L9 ,50S ribosomal protein L9,plastid ribosome,plastid large ribosomal subunit
AT3G45140.1,lipoxygenase 2 ,"lipoxygenase AtLOX2, plastid",plastid stroma,thylakoid membrane (sensu Viridiplantae) & chloroplast
AT3G46100.1,Histidyl-tRNA synthetase 1 ,His-tRNA synthetase  (ATHRS1) / histidine--tRNA ligase (dual targeted),plastid stroma; mitochondria,mitochondrion & chloroplast
AT3G46610.1,Pentatricopeptide repeat (PPR-like) superfamily protein ,Pentatricopeptide repeat (PPR) protein ,plastid,
AT3G46630.1,Protein of unknown function (DUF3223) ,DCL-like,plastid,
AT3G46740.1,translocon at the outer envelope membrane of chloroplasts 75-III ,OEP75 (TOC75-III) = Chloroplast import-associated channel homolog,envelope-outer,integral to chloroplast outer membrane
AT3G46780.1,plastid transcriptionally active 16 ,unknown protein (pTAC16),thylakoid,thylakoid membrane (sensu Viridiplantae) & plastid chromosome
AT3G46790.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,CRR2 - RNA processing,plastid stroma,
AT3G47070.1,"LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thylakoid soluble phosphoprotein TSP9 (InterPro:IPR021584); H",thylakoid phosphoprotein (TSP9),thylakoid-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae)
AT3G47390.1,"Encodes a protein that is believed to function as a pyrimidine reductase involved in riboflavin and FAD biosynthesis. phs1 was identified as a photosensitive mutant that shows reduced growth, chloroplast developmental abnormalities, reduced chlorophyll levels, increased oxidative stress, reduced NADPH/NADP+ ratios, reduced photosystem I electron transport, and reduced photosynthetic protein levels under high light conditions. Many of these abnormal phenotypes likely arise from the reduction in the levels of FAD in the phs1 mutant.",PHS1 -  deaminase riboflavin pathway,stroma,
AT3G47390.2,cytidine/deoxycytidylate deaminase family protein ,PHS1 -  deaminase riboflavin pathway,stroma,
AT3G47450.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,"RIF1 - homologue of YqeH, a GTPase (misnamed NOA1)",plastid stroma,mitochondrion
AT3G47450.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,"RIF1 - homologue of YqeH, a GTPase (misnamed NOA1)",plastid stroma,mitochondrion
AT3G47470.1,light-harvesting chlorophyll-protein complex I subunit A4 ,LHCI-4 - LHCI-730,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT3G47490.1,HNH endonuclease ,DNA endonuclease ,plastid,
AT3G47490.2,HNH endonuclease; BEST Arabidopsis thaliana protein match is: HNH endonuclease domain-containing protein (TAIR:AT1G18680.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,DNA endonuclease ,plastid,
AT3G47490.3,"HNH endonuclease; FUNCTIONS IN: endonuclease activity, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: HNH endonuclease (InterPro:IPR002711); BEST Arabidopsis thaliana protein match is: HNH endonuclease domain-containing protein (TAIR:AT1G18680.1).",DNA endonuclease ,plastid,
AT3G47520.1,malate dehydrogenase ,plastid malate dehydrogenase [NAD] chlMDH,plastid stroma,mitochondrion & chloroplast
AT3G47650.1,DnaJ/Hsp40 cysteine-rich domain superfamily protein ,bundle-sheath defective protein 2 (bsd2) (DnaJ domain),plastid stroma,
AT3G47860.1,chloroplastic lipocalin ,plastid lipocalin (LCNP),thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae)
AT3G48110.1,glycine-tRNA ligases ,Gly t-RNA synthetase (GlyRS-2) (EDD1) (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT3G48420.1,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ,haloacid dehalogenase-like hydrolase-2,plastid stroma,
AT3G48500.1,"Nucleic acid-binding, OB-fold-like protein ",nucleoid protein (pTAC10),plastid nucleoid,plastid chromosome
AT3G48500.2,"PIGMENT DEFECTIVE 312 (PDE312); LOCATED IN: plastid chromosome, chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nucleic acid-binding, OB-fold-like (InterPro:IPR016027); Has 95 Blast hits to 93 proteins in 38 species: Archae - 0; Bacteria - 0; Metazoa - 5; Fungi - 14; Plants - 42; Viruses - 14; Other Eukaryotes - 20 (source: NCBI BLink).",nucleoid protein (pTAC10),plastid nucleoid,
AT3G48560.1,chlorsulfuron/imidazolinone resistant 1 ,acetolactate synthase ,plastid stroma,
AT3G48730.1,"glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA2); FUNCTIONS IN: glutamate-1-semialdehyde 2,1-aminomutase activity, pyridoxal phosphate binding, transaminase activity, catalytic activity; INVOLVED IN: porphyrin biosynthetic process; LOCATED IN: chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase, major domain (InterPro:IPR015424), Aminotransferase class-III (InterPro:IPR005814), Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase (InterPro:IPR004639), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (InterPro:IPR015421); BEST Arabidopsis thaliana protein match is: glutamate-1-semialdehyde-2,1-aminomutase (TAIR:AT5G63570.1); Has 34778 Blast hits to 34772 proteins in 2825 species: Archae - 734; Bacteria - 23568; Metazoa - 533; Fungi - 800; Plants - 388; Viruses - 10; Other Eukaryotes - 8745 (source: NCBI BLink).","glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2)",plastid stroma,
AT3G48870.1,Encodes a nuclear encoded protein with similarity to Clpa regulatory subunit of CLP protease complex. The protein is localized to the chloroplast stroma.  May function redundantly with TIC complex  in chloroplast protein import.,ClpC2 (also named HSP93-III) - highly similar to ClpC1,plastid stroma,mitochondrion & chloroplast stroma & chloroplast
AT3G48870.2,Encodes a nuclear encoded protein with similarity to Clpa regulatory subunit of CLP protease complex. The protein is localized to the chloroplast stroma.  May function redundantly with TIC complex  in chloroplast protein import.,ClpC2 (also named HSP93-III) - highly similar to ClpC1,plastid stroma,
AT3G49560.1,"Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein; FUNCTIONS IN: protein transporter activity, P-P-bond-hydrolysis-driven protein transmembrane transporter activity; INVOLVED IN: protein transport; LOCATED IN: in 6 components; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Sterile alpha motif, type 1 (InterPro:IPR021129), Mitochondrial inner membrane translocase complex, subunit Tim17/22 (InterPro:IPR003397); BEST Arabidopsis thaliana protein match is: Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein (TAIR:AT5G24650.1); Has 96 Blast hits to 94 proteins in 24 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 87; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",HP30-1 or TRIC-1 (PRAT family) - tRNA import in mitochon.,mitochondria; envelope-inner-integral,
AT3G49680.1,Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant.,branched-chain-amino-acid transaminase (ATBCAT-3),plastid stroma,
AT3G49680.2,Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant.,branched-chain-amino-acid transaminase (ATBCAT-3),plastid stroma,
AT3G50380.1,Protein of unknown function (DUF1162) ,unknown protein (DUF1162) ,plastid,
AT3G50820.1,photosystem II subunit O-2 ,psbO OEC33-like,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae)
AT3G51140.1,Protein of unknown function (DUF3353) ,weak homolog of CDF1 ,envelope,chloroplast inner membrane
AT3G51510.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 42 Blast hits to 4",unknown protein - C/M,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT3G51820.1,UbiA prenyltransferase family protein ,chlorophyll synthase (CHLG),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT3G51870.1,Mitochondrial substrate carrier family protein ,mitochondrial carrier family,envelope,
AT3G52150.1,"RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: chloroplast RNA-binding protein 33 (TAIR:AT3G52380.1); Has 994423 Blast hits to 498842 proteins in 22080 species: Archae - 21562; Bacteria - 603611; Metazoa - 187119; Fungi - 27426; Plants - 59617; Viruses - 70898; Other Eukaryotes - 24190 (source: NCBI BLink).",PSRP-2 associates with 30S (substitute 16S?),plastid ribosome,
AT3G52150.2,RNA-binding (RRM/RBD/RNP motifs) family protein ,PSRP-2 associates with 30S (substitute 16S?),plastid ribosome,
AT3G52155.1,Phosphoglycerate mutase family protein ,Phosphoglycerate mutase domain,plastid,
AT3G52180.1,dual specificity protein phosphatase (DsPTP1) family protein ,starch phosphatase  (SEX4),plastid stroma,chloroplast
AT3G52180.2,"Encodes a plant-specific glucan phosphatase that contains a noncatalytic  carbohydrate-binding module as well as a dual specificity protein phosphatase domain. SEX4 can dephosphorylate C6- and C3-glucosyl residues on native starch grains and related maltodextrin compounds in vitro. This protein interacts with the plant SnRK AKIN11, binds starch, and is localized in the chloroplast. sex4 mutants have elevated levels of starch.",starch phosphatase  (SEX4),plastid stroma,chloroplast
AT3G52230.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast outer membrane, chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSE",OM24 orthologue,envelope-outer,chloroplast outer membrane & thylakoid membrane (sensu Viridiplantae)
AT3G52380.1,chloroplast RNA-binding protein 33 ,RNA-binding protein cp33,plastid stroma,chloroplast
AT3G52750.1,Tubulin/FtsZ family protein ,FtsZ2-2 plastid division - tubulin motifs,plastid stroma,chloroplast stroma & chloroplast
AT3G52960.1,"Thioredoxin superfamily protein; FUNCTIONS IN: oxidoreductase activity, antioxidant activity; INVOLVED IN: defense response to bacterium, peptidyl-cysteine S-nitrosylation; LOCATED IN: thylakoid, chloroplast stroma, chloroplast, plant-type cell wall; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Thioredoxin-like (InterPro:IPR017936), Thioredoxin-like fold (InterPro:IPR012336), Redoxin (InterPro:IPR013740); BEST Arabidopsis thaliana protein match is: thioredoxin-dependent peroxidase 1 (TAIR:AT1G65980.1); Has 4202 Blast hits to 4202 proteins in 933 species: Archae - 58; Bacteria - 1639; Metazoa - 177; Fungi - 321; Plants - 255; Viruses - 0; Other Eukaryotes - 1752 (source: NCBI BLink).",Peroxiredoxin IIE (PrxII E),plastid stroma,
AT3G53130.1,Cytochrome P450 superfamily protein ,lutein - LUT1 -cytochrome P450-type monooxygenase CYP91C1; alpha hydroxylase,plastid,chloroplast
AT3G53460.1,Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.,RNA binding protein CP29 A' (RNP29A'),plastid stroma,chloroplast
AT3G53460.2,Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.,RNA binding protein CP29 A' (RNP29A'),plastid stroma,chloroplast
AT3G53460.3,Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.,RNA binding protein CP29 A' (RNP29A'),plastid stroma,
AT3G53460.4,Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.,RNA binding protein CP29 A' (RNP29A'),plastid stroma,
AT3G53470.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 35 Blast hits to 35 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT3G53470.2,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 35 Blast hits to 35 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT3G53560.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,Tetratricopeptide repeat (TPR) protein ,plastid,thylakoid membrane (sensu Viridiplantae)
AT3G53580.1,diaminopimelate epimerase family protein ,diaminopimelate epimerase family protein,plastid stroma,
AT3G53700.1,Pentatricopeptide repeat (PPR) superfamily protein ,pentatricopeptide repeat (PPR) protein,plastid,
AT3G53900.1,uracil phosphoribosyltransferase ,"uracil phosphoribosyltransferase / UMP pyrophosphorylase,/ UPRTase",plastid stroma,
AT3G53900.2,"Encodes UPP, a plastidial uracil phosphoribosyltransferase (UPRT) involved in uracil salvage.  Loss-of-function mutation causes dramatic growth retardation, a pale-green to albino phenotype, abnormal root morphology and chloroplastic disorders.","uracil phosphoribosyltransferase / UMP pyrophosphorylase,/ UPRTase",plastid stroma,
AT3G54050.1,"Encodes a chloroplastic fructose 1,6-bisphosphate phosphatase. also known as HCEF1 (High Cyclic Electron Flow 1). hcef1 mutants have constitutively elevated electron flow (CEFI) and plants with antisense suppression of this enzyme have higher levels of net leaf photosynthesis  and increased sucrose biosynthesis.","fructose-bisphosphatase (FBPA), high CEF1 (hcef1)",plastid stroma,
AT3G54050.2,high cyclic electron flow 1 ,"fructose-bisphosphatase (FBPA), high CEF1 (hcef1)",plastid stroma,
AT3G54090.1,fructokinase-like 1 ,fructokinase-like 1 (FLN1) (pfkB-type carbohydrate kinase family) (TAC) - multiple locations,plastid nucleoid; nucleus; cytosol,nucleus & cytoplasm
AT3G54210.1,Ribosomal protein L17 family protein ,50S ribosomal protein L17,plastid ribosome,
AT3G54640.1,tryptophan synthase alpha chain ,"tryptophan synthase, alpha subunit (TSA1)",plastid stroma,chloroplast
AT3G54660.1,glutathione reductase ,"gluthatione reductase,",plastid stroma,mitochondrion
AT3G54890.1,photosystem I light harvesting complex gene 1 ,LHCI-1-1 - LHCI-730,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT3G54890.2,Encodes a component of the light harvesting complex associated with photosystem I.,LHCI-1-1 - LHCI-730,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT3G54890.3,Encodes a component of the light harvesting complex associated with photosystem I.,LHCI-1-1 - LHCI-730,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT3G54890.4,Encodes a component of the light harvesting complex associated with photosystem I.,LHCI-1-1 - LHCI-730,thylakoid-integral,
AT3G54900.1,CAX interacting protein 1 ,Glutaredoxin (formerly CAX-interacting protein 1; CAXIP1),plastid,
AT3G54960.1,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). Neither AtIRE1-2 nor AtbZIP60 appear to be required for this response.",thioredoxin domain (ATPDIL1-3),plastid,
AT3G54960.2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). Neither AtIRE1-2 nor AtbZIP60 appear to be required for this response.",thioredoxin domain (ATPDIL1-3),plastid,
AT3G55010.1,encoding phosphoribosylformylglycinamidine cyclo-ligase (syn. AIR synthetase)that phosphorylates 5-phosphoribosyl-N-formylglycinamidine (FGAM) to form 5-aminoimidazole ribonucleotide (AIR),"phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)",plastid stroma,
AT3G55010.2,"phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5) ","phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)",plastid stroma,
AT3G55040.1,glutathione transferase lambda 2 ,gluthatione Transferase Lamda -2 (GSTL2) ,plastid stroma,
AT3G55250.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, chloroplast, nucleus; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 46 Blast hits to 46 protei",PSA3- PSI assembly factor with PYG7,thylakoid-peripheral-stromal-side,mitochondrion
AT3G55330.1,PsbP-like protein 1 ,OEC23-like-4 Tat lTP TL25.6 (PPL1),thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT3G55400.1,methionyl-tRNA synthetase / methionine--tRNA ligase / MetRS (cpMetRS) ,Met-tRNA synthetase / methionine--tRNA ligase / MetRS (dual targeted),plastid stroma; mitochondria,mitochondrion & chloroplast
AT3G55400.2,methionyl-tRNA synthetase / methionine--tRNA ligase / MetRS (cpMetRS) ,Met-tRNA synthetase / methionine--tRNA ligase / MetRS (dual targeted),plastid stroma; mitochondria,
AT3G55760.1,"unknown protein; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 10 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G42430.2); Has 176 Blast hits to 125 proteins in 40 species: Archae - 0; Bacteria - 3; Metazoa - 19; Fungi - 9; Plants - 81; Viruses - 0; Other Eukaryotes - 64 (source: NCBI BLink).",LIKE EARLY STARVATION 1 (LESV),plastid stroma,
AT3G55760.2,unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 10 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G42430.2); Has 176 Blast hits to 125 proteins in 40 species: Archae - 0; Bacteria - 3; Metazoa - 19; Fungi - 9; Plants - 81; Viruses - 0; Other Eukaryotes - 64 (source: NCBI BLink).,LIKE EARLY STARVATION 1 (LESV),plastid stroma,
AT3G55760.3,unknown protein; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 10 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G42430.2). ,LIKE EARLY STARVATION 1 (LESV),plastid stroma,
AT3G55800.1,sedoheptulose-bisphosphatase ,sedoheptulose-bisphosphatase (SBPase),plastid stroma,
AT3G56010.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 25 Blast hits to 25 proteins in,unknown function,plastid,thylakoid membrane (sensu Viridiplantae)
AT3G56090.1,"Encodes FERRITIN 3, AtFER3.  Ferritins are a class of 24-mer multi-meric proteins found in all kingdoms of life.  Function as the main iron store in mammals.  Evidence suggests that Arabidopsis ferritins are essential to protect cells against oxidative damage, but they do not constitute the major iron pool.",Ferritin-3,plastid stroma,
AT3G56130.1,biotin/lipoyl attachment domain-containing protein ,biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP),plastid,
AT3G56130.2,biotin/lipoyl attachment domain-containing protein ,biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP),plastid,
AT3G56130.3,"biotin/lipoyl attachment domain-containing protein; FUNCTIONS IN: binding; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Single hybrid motif (InterPro:IPR011053), Biotin/lipoyl attachment (InterPro:IPR000089); BEST Arabidopsis thaliana protein match is: Single hybrid motif superfamily protein (TAIR:AT1G52670.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP),plastid,
AT3G56130.4,biotin/lipoyl attachment domain-containing protein ,biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP),plastid,
AT3G56140.1,Protein of unknown function (DUF399 and DUF3411) ,reticulate family member RER6 (DUF399 domain),envelope-inner-integral,
AT3G56160.1,Sodium Bile acid symporter family ,BASS4,envelope-inner-integral,
AT3G56650.1,Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein ,OEC23-like-1,thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT3G56690.1,Cam interacting protein 111 ,CIP111 (CAM INTERACTING PROTEIN 111); ATPase/ calmodulin binding ,plastid,thylakoid membrane (sensu Viridiplantae)
AT3G56910.1,"plastid-specific 50S ribosomal protein 5 (PSRP5); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 42 Blast hits to 42 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",PSRP-5 associates with 50S,plastid ribosome,
AT3G56940.1,"dicarboxylate diiron protein, putative (Crd1) ",dicarboxylate diiron protein (Crd1 or CHL27) ,thylakoid-peripheral-stromal-side; envelope-inner-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae) & chloroplast inner membrane
AT3G56940.2,"Encodes a putative ZIP protein with varying mRNA accumulation in leaves, stems and roots.  Has a consensus carboxylate-bridged di-iron binding site.",dicarboxylate diiron protein (Crd1 or CHL27) ,thylakoid-peripheral-stromal-side; envelope-inner-peripheral-stromal-side,
AT3G57050.1,cystathionine beta-lyase ,CYSTATHIONINE BETA-LYASE  (CBL),plastid,
AT3G57050.2,Encodes second enzyme in the methionine biosynthetic pathway,CYSTATHIONINE BETA-LYASE  (CBL),plastid,
AT3G57050.3,Encodes second enzyme in the methionine biosynthetic pathway,CYSTATHIONINE BETA-LYASE  (CBL),plastid,
AT3G57090.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,tetratricopeptide repeat (TPR) protein ,plastid; peroxisome; mitochondria,
AT3G57180.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,BPG2- homologue of YqeH -GTPase,plastid,
AT3G57190.1,"peptide chain release factor, putative ",Ribosomal peptide release factor B3 (PrfB3) - petB mRNA,plastid stroma,
AT3G57280.1,Transmembrane proteins 14C ,unknown protein,envelope,chloroplast inner membrane
AT3G57560.1,N-acetyl-l-glutamate kinase ,N-acetyl glutamate kinase - interacts with PII,plastid stroma,chloroplast
AT3G57610.1,adenylosuccinate synthase ,adenylosuccinate synthetase (ADSS),plastid stroma,
AT3G58010.1,"plastoglobulin 34kD (PGL34); FUNCTIONS IN: structural molecule activity; INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, thylakoid lumen, chloroplast thylakoid membrane, chloroplast, plastoglobule; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Plastid lipid-associated protein/fibrillin (InterPro:IPR006843); BEST Arabidopsis thaliana protein match is: Plastid-lipid associated protein PAP / fibrillin family protein (TAIR:AT2G42130.4); Has 158 Blast hits to 158 proteins in 38 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 6; Plants - 145; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).",fibrillin 7a (FBN7a),plastoglobules,thylakoid membrane (sensu Viridiplantae)
AT3G58140.1,phenylalanyl-tRNA synthetase class IIc family protein ,Phe-tRNA synthetase (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT3G58610.1,"ketol-acid reductoisomerase; FUNCTIONS IN: copper ion binding, ketol-acid reductoisomerase activity; INVOLVED IN: response to cadmium ion, branched chain family amino acid biosynthetic process; LOCATED IN: in 6 components; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Acetohydroxy acid isomeroreductase, catalytic (InterPro:IPR013116), 6-phosphogluconate dehydrogenase, C-terminal-like (InterPro:IPR008927), Dehydrogenase, multihelical (InterPro:IPR013328), Acetohydroxy acid isomeroreductase C-terminal (InterPro:IPR000506), Ketol-acid reductoisomerase (InterPro:IPR016206), Acetohydroxy acid isomeroreductase (InterPro:IPR013023), NAD(P)-binding domain (InterPro:IPR016040); Has 7931 Blast hits to 7576 proteins in 2285 species: Archae - 226; Bacteria - 4872; Metazoa - 2; Fungi - 269; Plants - 111; Viruses - 0; Other Eukaryotes - 2451 (source: NCBI BLink).",ketol-acid reductoisomerase ,plastid stroma,mitochondrion
