"","Locus","Description","otherName"
"83","AT2G21280","A nuclear-encoded, plastid-targeted protein (AtSulA) whose overexpression causes severe yet stochastic plastid (shown in chloroplasts and leucoplasts) division defects. The protein does not appear to interact with either AtFtsZ proteins when studied in a yeast two-hybrid system.","ATSULA; GC1; GIANT CHLOROPLAST 1; SULA"
"870","AT5G40780","Encodes LHT1 (lysine histidine transporter), a high-affinity transporter for cellular amino acid uptake in both root epidermis and leaf mesophyll.","ATLHT1; LHT1; LYSINE HISTIDINE TRANSPORTER 1"
"43","AT5G63310","Maintains intracellular dNTP levels except ATP. Plays a role in response to oxidative stress and UV. Involved in phytochrome-mediated light signaling. Participates in auxin-regulated processes, partly through the modulation of auxin transport. H-bonding with His-197 inside the nucleotide-binding pocket is critical for NDPK2 functioning.","ARABIDOPSIS NUCLEOSIDE DIPHOSPHATE KINASE 2; ATNDPK2; NDP KINASE 1A; NDPK IA; NDPK IA IA; NDPK1A; NDPK2; NUCLEOSIDE DIPHOSPHATE KINASE 2; NUCLEOSIDE DIPHOSPHATE KINASE IA"
"186","AT5G59690","Histone superfamily protein;(source:Araport11)",""
"774","AT5G46110","Encodes a chloroplast triose phosphate / 3-phosphoglycerate translocator that transports triose phosphates derived from the Calvin cycle in the stroma to the cytosol for use in sucrose synthesis and other biosynthetic processes. A tpt mutant has altered acclimation responses. The mRNA is cell-to-cell mobile.","ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT 2; APE2; TPT; TRIOSE-PHOSPHATE &#8260; PHOSPHATE TRANSLOCATOR"
"238","AT2G39140","Suppressor of var2 variegation phenotype. Chloroplast localized. Loss of function mutant has defects in chloroplast protein translation and rRNA processing. Similar in sequence to pseudouridine synthase proteins.","PDE328; PIGMENT DEFECTIVE 328; SUPPRESSOR OF VARIEGATION 1; SVR1"
"367","AT5G58800","Quinone reductase family protein;(source:Araport11)",""
"754","AT5G41670","6-phosphogluconate dehydrogenase family protein;(source:Araport11)",""
"824","AT5G27150","Encodes a vacuolar sodium/proton antiporter involved in salt tolerance, ion homeostasis, and leaf development. The mRNA is cell-to-cell mobile.","AT-NHX1; ATNHX; ATNHX1; NA+/H+ EXCHANGER 1; NHX1"
"235","AT5G53850","Encodes a trifunctional dehydratase / enolase / phosphatase involved in the methionine salvage.",""
"802","AT5G63470","Encodes a member of class of transcription regulators that his highly conserved across many plant species.In Arabidopsis and rice, NF-YC4 interacts with other members of this class and CO to regulate flowering. In Arabidopsis, it interacts with QQS to regulate C/N partitioning.","NF-YC4; NUCLEAR FACTOR Y, SUBUNIT C4"
"588","AT5G49760","Leucine rich receptor kinase.",""
"44","AT5G43960","Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein;(source:Araport11)",""
"156","AT4G35760","Encodes a bimodular enzyme comprising an integral domain homologous to the catalytic subunit of mammalian vitamin K epoxide reductase (VKORC1, EC 1.1.4.1) that is fused to a soluble thioredoxin-like moiety. Using yeast microsomes as a recombinant system, it was shown that the VKORC1 domain of At4g35760 functions as a stringent naphthoquinone reductase, and that its reduced Trx-like partner can serve as its electron donor.  Located in plastid. Required for the assembly of photosystem II. Can catalyze disulfide bond formation in vitro.","LTO1; LUMEN THIOL OXIDOREDUCTASE 1"
"174","AT3G29200","L-ascorbate peroxidase","ARABIDOPSIS THALIANA CHORISMATE MUTASE 1; ATCM1; CHORISMATE MUTASE 1; CM1"
"651","AT5G19380","Encodes one of the CRT-Like transporters (CLT1/AT5G19380, CLT2/AT4G24460, CLT3/AT5G12170). Required for glutathione homeostasis and stress responses.  Mutants lacking these transporters are heavy metal-sensitive, glutathione(GSH)-deficient, and hypersensitive to Phytophthora infection.","CLT1; CRT (CHLOROQUINE-RESISTANCE TRANSPORTER)-LIKE TRANSPORTER 1"
"254","AT3G52230","hypothetical protein;(source:Araport11)",""
"473","AT5G57860","Ubiquitin-like superfamily protein;(source:Araport11)",""
"889","AT5G36210","alpha/beta-Hydrolases superfamily protein;(source:Araport11)",""
"849","AT5G28050","Cytidine/deoxycytidylate deaminase family protein;(source:Araport11)","GSDA; GUANOSINE DEAMINASE"
"593","AT5G13430","Ubiquinol-cytochrome C reductase iron-sulfur subunit;(source:Araport11)","RIESKE FES PROTEIN; RISP"
"882","AT5G06430","Thioredoxin superfamily protein;(source:Araport11)",""
"418","AT5G20090","MPC1 negatively regulates ABA enhanced slow anion channel function during stomatal closure.","ATMPC1; MITOCHONDRIAL PYRUVATE CARRIER 1; MPC1"
"38","AT5G55070","Dihydrolipoamide succinyltransferase;(source:Araport11)",""
"183","AT5G16390","Encodes for the biotin carboxyl-carrier subunit of the multi-enzyme plastidial acetyl-coenzyme A carboxylase complex.","BCCP; BCCP-1; BCCP1; BIOTIN CARBOXYL CARRIER PROTEIN; BIOTIN CARBOXYL-CARRIER PROTEIN 1; CAC1; CAC1-A; CAC1A; CHLOROPLASTIC ACETYLCOENZYME A CARBOXYLASE 1"
"607","AT5G66190","Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the thylakoid.  The affinity of this enzyme for ferredoxin is slightly, but significantly, higher than AtLFNR2, an isoform of the same enzyme.  AtLFNR1 forms a heterodimer with AtFNR2 and is also a prerequisite to attach AtFNR2 to the thylakoid membrane.","ATLFNR1; FERREDOXIN-NADP(+)-OXIDOREDUCTASE 1; FNR1; LEAF FNR 1; LEAF-TYPE CHLOROPLAST-TARGETED FNR 1; LFNR1"
"566","AT5G46290","Encodes beta-ketoacyl-[acyl carrier protein] synthase I (KASI).  Crucial for fatty acid synthesis.  Plays a role in chloroplast division and embryo development.","3-KETOACYL-ACYL CARRIER PROTEIN SYNTHASE I; KAS1; KASI; KETOACYL-ACP SYNTHASE 1"
"301","ATCG00580","PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.","PHOTOSYSTEM II REACTION CENTER PROTEIN E; PSBE"
"329","AT1G50460","Involved in glucose-ethylene crosstalk.",""
"249","AT5G19820","Encodes an importin that transports HYL1, a component of the microprocessor, from the cytoplasm to the nucleus to constitute functional microprocessor, thereby affecting miRNA processing. Knockdown amiR mutants significantly reduced nuclear portion of HYL1 protein and correspondingly compromised the pri-miRNA processing in the nucleus.","(KARYOPHERIN ENABLING THE TRANSPORT OF THE  CYTOPLASMIC HYL1; EMB2734; EMBRYO DEFECTIVE 2734; KETCH1"
"158","AT1G69370","Encodes chorismate mutase 3 (CM3).","ATCM3; CHORISMATE MUTASE 3; CM-3; CM3"
"333","AT2G38060","Encodes an inorganic phosphate transporter (PHT4;2).","PHOSPHATE TRANSPORTER 4;2; PHT4;2"
"648","AT3G60620","cytidinediphosphate diacylglycerol synthase 5;(source:Araport11)","CDS5; CYTIDINEDIPHOSPHATE DIACYLGLYCEROL SYNTHASE 5"
"652","AT5G56680","Encodes a putative cytosolic asparaginyl-tRNA synthetase. The mRNA is cell-to-cell mobile.","EMB2755; EMBRYO DEFECTIVE 2755; SYNC1; SYNC1 ARATH"
"129","AT5G45775","Ribosomal L5P family protein;(source:Araport11)",""
"565","AT5G16990","molecular function has not been defined, was shown involved in oxidative stress tolerance. The mRNA is cell-to-cell mobile.",""
"901","AT5G67510","Translation protein SH3-like family protein;(source:Araport11)",""
"411","AT5G19040","Encodes cytokinin synthase.",""
"287","AT5G57110","Arabidopsis-autoinhibited Ca2+ -ATPase, isoform 8, contains all of the characteristic motifs of Ca2+ -transporting P-type Ca2+ -ATPases and is localized to the plasma membrane.","AUTOINHIBITED CA2+ -ATPASE, ISOFORM 8; ACA8; AT-ACA8"
"69","AT5G28840","Encodes a protein with GDP-D-mannose 3',5'-epimerase activity.  The enzyme is involved in ascorbate biosynthesis. It catalyzes the conversion of GDP-D-mannose to GDP-L-galactose.","GDP-D-MANNOSE 3',5'-EPIMERASE; GME"
"840","AT4G02510","An integral membrane GTPase that functions as a transit-sequence receptor required for the import of proteins necessary for chloroplast biogenesis. Located in the outer chloroplast membrane. Phosphorylation of the G-domains regulate translocon assembly.The mRNA is cell-to-cell mobile.",""
"579","AT4G31780","Encodes an A-type monogalactosyldiacylglycerol (MGDG) synthase. It represents the isoform responsible for the bulk of MGDG synthesis in Arabidopsis.",""
"613","AT5G37780","encodes a calmodulin that is involved in thigmomorphogenesis. Gene expression is rapidly induced upon a variety of abiotic stimuli, including water spray, subirrigation, wind, touch, wounding, or darkness.",""
"116","AT5G48790","LOW PSII ACCUMULATION protein (DUF1995);(source:Araport11)",""
"404","AT3G16480","mitochondrial processing peptidase alpha subunit;(source:Araport11)","MITOCHONDRIAL PROCESSING PEPTIDASE ALPHA SUBUNIT; MPPALPHA"
"277","AT5G19620","AtOEP80 is paralog to the chloroplastic protein translocation  channel Toc75. Mutations in this locus result in embryo lethality.","ARABIDOPSIS THALIANA OUTER ENVELOPE PROTEIN OF 80 KDA; ATOEP80; EMB213; EMBRYO DEFECTIVE 213; OEP80; OUTER ENVELOPE PROTEIN OF 80 KDA; TOC75-V; TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 75-V"
"688","AT5G15350","early nodulin-like protein 17;(source:Araport11)","ATENODL17; EARLY NODULIN-LIKE PROTEIN 17; ENODL17"
"671","AT5G27560","DUF1995 domain protein, putative (DUF1995);(source:Araport11)",""
"225","AT5G50250","Encodes a RNA binding protein.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).  Supports editing of specific CP31A-dependent sites.","CHLOROPLAST RNA-BINDING PROTEIN 31B; CP31B"
"729","AT5G51970","Encodes a putative sorbitol dehydrogenase that can be thiolated in vitro.","ATSDH; SORBITOL DEHYDROGENASE"
"657","AT5G18620","Encodes a member of the A. thaliana imitation switch (AtISWI) subfamily of chromatin remodeling factors. Double mutation in CHR17 and CHR11 results in the loss of the evenly spaced nucleosome pattern in gene bodies, but does not affect nucleosome density.","CHR17; CHROMATIN REMODELING FACTOR17"
"104","AT2G44530","Phosphoribosyltransferase family protein;(source:Araport11)","ATPRS5; PHOSPHORIBOSYL DIPHOSPHATE SYNTHASE 5; PRS5"
"115","AT4G33520","Encodes a putative metal-transporting P-type ATPase PAA1.  An alternative-splicing event of the PAA1 pre-mRNA produces a copper chaperon named PCH1.The mRNA is cell-to-cell mobile.",""
"166","AT5G35680","Nucleic acid-binding, OB-fold-like protein;(source:Araport11)",""
"954","AT5G35630","chloroplastic glutamine synthetase The mRNA is cell-to-cell mobile.","ATGSL1; GLN2; GLUTAMINE SYNTHETASE 2; GLUTAMINE SYNTHETASE LIKE 1; GS2"
"872","AT2G25710","Encodes a dual-targeted biotin holocarboxylase synthetase that can localize to the chloroplast and the cytosol. In vitro, it has been shown to catalyze the addition of biotin to the BCCP subunit of acetyl-CoA carboxylase and it can also biotinylate methylcrotonyl-CoA carboxylase. A small upstream ORF in the 5'UTR (uORF24) regulates the differential targeting of this enzyme.","HCS1; HOLOCARBOXYLASE SYNTHASE 1"
"47","AT5G52810","SAR-DEFICIENT4 (SARD4) alias ORNITHINE CYCLODEAMINASE/m-CRYSTALLIN (ORNCD1) is involved in the biosynthesis of pipecolic acid. The reductase converts dehydropipecolic acid intermediates generated from L-Lysine by AGD2-LIKE DEFENSE RESPONSE PROTEIN1 (ALD1) to pipecolic acid (PMID:28330936).","SAR DEFICIENT 4; SARD4"
"428","AT5G59613","ATP synthase;(source:Araport11)",""
"638","AT5G60640","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Unlike several other PDI family members, transcript levels for this gene are not up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). However, the level of transcripts for this gene is slightly elevated in atbzip60 mutants.","PDI-LIKE 1-4; PDIL1-4"
"715","AT5G14200","The AtIMD1 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids. Encodes methylthioalkylmalate dehydrogenase. Involved in glucosinolate biosynthesis, in methionine chain elongation. The mRNA is cell-to-cell mobile.","ARABIDOPSIS ISOPROPYLMALATE DEHYDROGENASE 1; ATIMD1; IMD1; ISOPROPYLMALATE DEHYDROGENASE 1"
"198","AT5G63640","ENTH/VHS/GAT family protein;(source:Araport11)",""
"256","AT5G16510","RGP5 is a member of the reversably-glycosylated family of proteins. Analyses using tagged RGP5 suggest that it is present in the cytosol and in association with the Golgi apparatus. Recombinant RGP5 does not have UDP-arabinose mutase activity based on an in vitro assay even though the related RGP1, RGP2, and RGP3 proteins do have activity in the same assay. RGP5 can form complexes with RGP1 and RGP2.","REVERSIBLY GLYCOSYLATED POLYPEPTIDE 5; REVERSIBLY GLYCOSYLATED PROTEIN 5; RGP5"
"380","AT5G14910","Heavy metal transport/detoxification superfamily protein;(source:Araport11)",""
"621","AT5G16040","Regulator of chromosome condensation (RCC1) family protein;(source:Araport11)",""
"714","AT5G57860","Ubiquitin-like superfamily protein;(source:Araport11)",""
"356","AT5G14740","Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform.",""
"324","AT5G64460","Phosphoglycerate mutase family protein;(source:Araport11)",""
"828","AT5G66880","encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth. The mRNA is cell-to-cell mobile.","SNRK2-3; SNRK2.3; SRK2I; SUCROSE NONFERMENTING 1 (SNF1)-RELATED PROTEIN KINASE 2-3; SUCROSE NONFERMENTING 1(SNF1)-RELATED PROTEIN KINASE 2.3"
"519","AT5G56030","A member of heat shock protein 90 (HSP90) gene family. Expressed in all tissues and abundant in root apical meristem, pollen and tapetum. Expression is NOT heat-induced but induced by IAA and NaCl. Interacts with HsfA1d in the cytosol and the nucleus and negatively regulates HsfA1d. Did not bind to  AtHsfA4c. The mRNA is cell-to-cell mobile.","HEAT SHOCK PROTEIN 81-2; HEAT SHOCK PROTEIN 81.2; HSP81-2; HSP81.2"
"419","AT5G61670","Encodes a close homolog of the Cauliflower OR (Orange) protein that is located in the chloroplast of light grown organs but in the nucleus of etiolated cotyledons.  The function of OR is to induce the differentiation of proplastids or other noncolored plastids into chromoplasts for carotenoid accumulation.  Both proteins contain a Cysteine-rich zinc finger domain that is highly specific to DnaJ-like molecular chaperons.  The AtOR protein interacts directly with the PSY (phytoene synthase) protein and acts as a positive posttranscriptional regulator of its expression, thereby affecting carotenoid biosynthesis.","ARABIDOPSIS THALIANA ORANGE; ATOR"
"883","AT5G56720","predicted to encode a cytosolic malate dehydrogenase.","C-NAD-MDH3; CYTOSOLIC-NAD-DEPENDENT MALATE DEHYDROGENASE 3"
"28","AT5G12250","Encodes a beta-tubulin. Expression of TUB6 has been shown to decrease in response to cold treatment.","BETA-6 TUBULIN; TUB6"
"468","AT5G56590","O-Glycosyl hydrolases family 17 protein;(source:Araport11)",""
"456","AT2G38550","Transmembrane proteins 14C;(source:Araport11)","FATTY ACID EXPORT 2; FAX2"
"636","AT5G49830","Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.","EXO84B; EXOCYST COMPLEX COMPONENT 84B"
"960","AT1G53760","K+-H+ exchange-like protein;(source:Araport11)",""
"918","AT5G61220","LYR family of Fe/S cluster biogenesis protein;(source:Araport11)",""
"944","AT5G41520","The gene belongs  to  the  three-member  Arabidopsis  gene  family  encoding  the  eukaryote-specific protein S10e of the small cytoplasmic ribosomal subunit.","RIBOSOMAL PROTEIN S10E B; RPS10B"
"517","AT5G24300","SSI is a plastidial enzyme and crucial for the synthesis of normal amylopectin in the leaves of Arabidopsis. The absence of SSI results in a deficiency in the number of shorter glucans which in turn affect the formation and connection of the amylopectin clusters in starch.","SS1; STARCH SYNTHASE 1"
"443","AT4G30580","Encodes a plastidic lysophosphatidic acid acyltransferase (LPAAT). Is critical for chloroplasts phosphatidic acid biosynthesis. The null allele is embryo lethal.","ATS2; EMB1995; EMBRYO DEFECTIVE 1995; LPAT1; LYSOPHOSPHATIDIC ACID ACYLTRANSFERASE 1"
"706","AT5G54430","Contains a universal stress protein domain. Protein is phosphorylated in response to Phytophthora infestans zoospores and xylanase.",""
"109","FGENESH2_KG.6__1554__AT5G15760.1","",""
"87","AT5G52240","Encodes a protein with similarity to  progesterone-binding proteins in animals. Has been shown to bind steroids in vitro. Expressed in aerial portions of the plant excluding mature flowers and siliques. Antisense experiments suggest a role in inhibition of hypocotyl cell elongation. Expression is suppressed light grown seedlings transferred to the dark. The mRNA is cell-to-cell mobile.","MEMBRANE STEROID BINDING PROTEIN 1; MSBP1"
"194","ATMG01320","encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.","NAD2; NAD2.2; NAD2B; NADH DEHYDROGENASE 2; NADH DEHYDROGENASE 2.2; NADH DEHYDROGENASE 2B"
"725","AT5G60600","Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase. The mRNA is cell-to-cell mobile.","4-HYDROXY-3-METHYLBUT-2-ENYL DIPHOSPHATE SYNTHASE; CHLOROPLAST BIOGENESIS 4; CLB4; CONSTITUTIVE SUBTILISIN 3; CSB3; GCPE; HDS; ISPG"
"390","AT3G58840","Encodes PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR1. Involved in the morphogenesis and proliferation of peroxisomes and mitochondria.","PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR 1; PMD1"
"549","AT1G68590","Ribosomal protein PSRP-3/Ycf65;(source:Araport11)","PLASTID-SPECI&#64257;C RIBOSOMAL PROTEIN 3/1; PSRP3/1"
"837","AT5G46870","RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)","BPA1-LIKE 5; BPL5"
"436","AT1G06530","Encodes PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR2. Involved in mitochondrial morphogenesis.","PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR 2; PMD2"
"839","AT4G02510","An integral membrane GTPase that functions as a transit-sequence receptor required for the import of proteins necessary for chloroplast biogenesis. Located in the outer chloroplast membrane. Phosphorylation of the G-domains regulate translocon assembly.The mRNA is cell-to-cell mobile.",""
"51","AT5G58870","encodes an FtsH protease that is localized to the chloroplast","FTSH PROTEASE 9; FTSH9"
"967","AT5G52470","Encodes a fibrillarin, a key nucleolar protein in eukaryotes which associates with box C/D small nucleolar RNAs (snoRNAs) directing 2'-O-ribose methylation of the rRNA. This gene also encodes a novel box C/D snoRNA, U60.1f in its fifth intron that accumulates in seedlings and that their targeted residue on the 25 S rRNA is methylated.","ATFBR1; ATFIB1; FBR1; FIB1; FIBRILLARIN 1; SKIP7; SKP1/ASK1-INTERACTING PROTEIN"
"2","AT5G49970","encodes the bifunctional pyridoxine (pyridoxamine) 5?-phosphate oxidase (PPOX)(EC 1.4.3.5) that is involved in the formation of pyridoxal 5'-phosphate (member of the vitamin B6 group). NAD(P)HX epimerase (AT5G49970) interconverts the two epimers of NAD(P)HX.","ATPPOX; PPOX; PYRIDOXIN (PYRODOXAMINE) 5'-PHOSPHATE OXIDASE"
"60","AT5G58420","Ribosomal protein S4 (RPS4A) family protein;(source:Araport11)",""
"25","AT5G47100","member of AtCBLs (Calcineurin B-like Calcium Sensor Proteins. CBL9 interacts with and targets CIPK23 to the plasma membrane in vivo.","ATCBL9; CALCINEURIN B-LIKE PROTEIN 9; CBL9"
"84","AT5G26030","encodes ferrochelatase I located in plastids. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins The mRNA is cell-to-cell mobile.","ATFC-I; FC-I; FC1; FERROCHELATASE 1"
"120","AT5G50810","Encodes a small zinc finger-like protein that is a component of the mitochondrial protein import apparatus.","TIM8; TRANSLOCASE INNER MEMBRANE SUBUNIT 8"
"726","AT5G16150","Encodes a putative plastidic glucose transporter.","GLT1; GLUCOSE TRANSPORTER 1; PGLCT; PLASTIDIC GLC TRANSLOCATOR"
"400","AT5G63810","member of Glycoside Hydrolase Family 35","ARABIDOPSIS THALIANA BETA-GALACTOSIDASE 10; ATBGAL10; BETA-GALACTOSIDASE 10; BGAL10"
"469","AT5G13560","structural maintenance of chromosomes protein;(source:Araport11)",""
"759","AT5G18800","Cox19-like CHCH family protein;(source:Araport11)",""
"861","AT1G01080","RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)",""
"897","AT5G15090","Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol. Purified VDAC3 is shown to have voltage-dependent anion channel activity.","ATVDAC-3; VDAC3; VOLTAGE DEPENDENT ANION CHANNEL 3"
"222","AT1G03860","prohibitin 2","ATPHB2; PHB2; PROHIBITIN 2"
"884","AT5G22880","Encodes a histone 2B (H2B) protein. This protein can be ubiquitinated in planta, and this modification depends on the HUB1 and HUB2 E3 ubiquitin ligases.","H2B; HISTONE B2; HISTONE H2B; HTB2"
"617","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)",""
"199","AT5G47840","adenosine monophosphate kinase;(source:Araport11)",""
"65","AT5G20160","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein;(source:Araport11)",""
"576","AT5G21160","Encodes a protein with sequence similarity to mRNA binding proteins from humans. LARP1a is involved in mRNA degradation in response to heat stress. Upon heat stress LARP1a interacts with XRN4 and appears to be responsible for addressing XRN4 to the polysome. LARP1/XRN4 double mutants are impaired in thermotolerance and lower levels of heat induced RNA turnover.","ATLARP1A; LA RELATED PROTEIN 1A; LARP1A"
"851","AT5G01590","histone-lysine N-methyltransferase ATXR3-like protein;(source:Araport11)","TIC56; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 56"
"748","AT1G53760","K+-H+ exchange-like protein;(source:Araport11)",""
"474","AT4G34240","Encodes an aldehyde dehydrogenase induced by ABA and dehydration that can oxidize saturated aliphatic aldehydes. It is also able to oxidize beta-unsaturated aldehydes, but not aromatic aldehydes. ALDH3I1 was able to use both NAD+ and NADP+ as cofactors.","ALDEHYDE DEHYDROGENASE 3; ALDEHYDE DEHYDROGENASE 3I1; ALDH3; ALDH3I1"
"354","AT1G21650","Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality.","SECA2"
"246","AT5G49810","Arabidopsis thaliana methionine S-methyltransferase, an enzyme that catalyzes S  -methylmethionine formation. The mRNA is cell-to-cell mobile.","METHIONINE S-METHYLTRANSFERASE; MMT"
"392","AT5G54940","Translation initiation factor SUI1 family protein;(source:Araport11)",""
"879","AT5G21100","Plant L-ascorbate oxidase;(source:Araport11)",""
"868","AT5G01220","Encodes a UDP-sulfoquinovose:DAG sulfoquinovosyltransferase that is involved in sulfolipid biosynthesis and whose expression is responsive to both phosphate (Pi) and phosphite (Phi) in both roots and shoots.",""
"55","AT5G57490","Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol.","ARABIDOPSIS THALIANA VOLTAGE DEPENDENT ANION CHANNEL 4; ATVDAC4; VDAC4; VOLTAGE DEPENDENT ANION CHANNEL 4"
"796","AT5G20500","Glutaredoxin family protein;(source:Araport11)",""
"969","SCAFFOLD_201022.1","",""
"244","AT4G10750","Phosphoenolpyruvate carboxylase family protein;(source:Araport11)",""
"545","AT5G25757","RNA polymerase I-associated factor PAF67;(source:Araport11)",""
"92","AT5G55190","A member of RAN GTPase gene family. Encodes a small soluble GTP-binding protein. Likely to be involved in nuclear translocation of proteins.  May also be involved in cell cycle progression.","ATRAN3; RAN GTPASE 3; RAN3"
"125","AT1G78510","Encodes one of the two paralogous solanesyl diphosphate synthases - SPS1 (At1g78510) and SPS2 (At1g17050) - that assemble the side-chain of plastoquinone-9 in plastids.","ATSPS1; SOLANESYL DIPHOSPHATE SYNTHASE 1; SPS1"
"170","AT5G14670","A member of ARF GTPase family. Arabidopsis has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to ADP-ribosylation factor DcARF1 (GI:965483) (Daucus carota), other ARFs and ARF-like proteins. The gene is shown to play a role in cell division, cell expansion and cellulose production using antisense construct.",""
"214","AT5G13640","arabidopsis phospholipid:diacylglycerol acyltransferase (PDAT)","ARABIDOPSIS THALIANA PHOSPHOLIPID:DIACYLGLYCEROL ACYLTRANSFERASE; ATPDAT; PDAT; PDAT1; PHOSPHOLIPID:DIACYLGLYCEROL ACYLTRANSFERASE; PHOSPHOLIPID:DIACYLGLYCEROL ACYLTRANSFERASE 1"
"305","AT5G36700","2-phosphoglycolate phosphatase 1;(source:Araport11)","2-PHOSPHOGLYCOLATE PHOSPHATASE 1; PGLP1"
"396","AT5G62300","Ribosomal protein S10p/S20e family protein;(source:Araport11)",""
"433","AT5G59370","Encodes one of eight Arabidopsis actins.  ACT4 belongs to the reproductive actin subclass which is predominantly expressed in developing and reproductive tissues, such as pollen, pollen tubes, ovules, and developing seeds.  Expression of the ACT4/GUS fusion was restricted to young vascular tissues, tapetum, and developing and mature pollen.","ACT4; ACTIN 4"
"401","AT5G48300","Encodes the small subunit of ADP-glucose pyrophosphorylase. The small subunit is the catalytic isoform responsible for ADP-glucose pyrophosphorylase activity. The presence of the small subunit is required for large subunit stability. Two isoforms of the small subunit (ApS1 and ApS2) have been described. ApS1 is the major small subunit isoform present in all plant tissues tested. The mRNA is cell-to-cell mobile.","ADG1; ADP GLUCOSE PYROPHOSPHORYLASE  1; ADP-GLUCOSE PYROPHOSPHORYLASE SMALL SUBUNIT 1; APS1"
"374","AT2G01910","Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria. The mRNA is cell-to-cell mobile.","ATMAP65-6; MAP65-6"
"701","AT5G66530","Galactose mutarotase-like superfamily protein;(source:Araport11)",""
"251","AT5G23290","prefoldin 5;(source:Araport11)","PFD5; PREFOLDIN 5"
"756","AT5G54270","Lhcb3 protein is a component of the main light harvesting chlorophyll a/b-protein complex of Photosystem II (LHC II).","LHCB3; LHCB3*1; LIGHT-HARVESTING CHLOROPHYLL B-BINDING PROTEIN 3"
"417","AT5G38660","mutant has Altered acclimation responses;","ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT; APE1"
"532","SCAFFOLD_201109.1","",""
