TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1005715969	AT5G43470	AT5G43470.2	protein_coding	Confers resistance to Peronospora parasitica. In arabidopsis ecotype Dijon-17, HRT-mediated signaling is dependent on light for the induction of  hypersensitive response and resistance to turnip crinkle virus.	HRT; HYPERSENSITIVE RESPONSE TO TCV; RCY1; RECOGNITION OF PERONOSPORA PARASITICA 8; RESISTANT TO CMV(Y) 1; RPP8	 plasma membrane, cultured plant cell, ADP binding, ATP binding, cellular response to salicylic acid stimulus, cultured plant cell, defense response, defense response to virus, guard cell, nucleotide binding, plant-type hypersensitive response, plasma membrane, plastid, positive regulation of defense response to virus by host, protein binding, response to absence of light, response to blue light, response to light stimulus, response to oomycetes, response to other organism, response to salicylic acid, response to wounding, rosette leaf	true
Gene:1006228234	AT2G45150	AT2G45150.2	protein_coding	cytidinediphosphate diacylglycerol synthase 4;(source:Araport11)	CDS4; CYTIDINEDIPHOSPHATE DIACYLGLYCEROL SYNTHASE 4	 plasma membrane, CDP-diacylglycerol biosynthetic process, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast membrane, chloroplast thylakoid membrane, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphatidate cytidylyltransferase activity, phosphatidylglycerol biosynthetic process, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009021571	AT2G47900	AT2G47900.2	protein_coding	Member of plant TLP family which differs in having an F box domain. Plasma membrane tethering is mediated by PIP2 binding domain. Under abiotic stress TLP3 detaches from the PM and translocates to the nucleus. Mutants are insensitive to ABA.	ATTLP3; TLP3; TUBBY LIKE PROTEIN 3	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to osmotic stress, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleoplasm, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, protein binding, regulation of transcription, DNA-templated, response to fungus, response to hydrogen peroxide, response to salt stress, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009022925	ATCG00470	ATCG00470.1	protein_coding	ATPase epsilon subunit	ATP SYNTHASE EPSILON CHAIN; ATPE	 chloroplast, thylakoid, chloroplast thylakoid, chloroplast thylakoid membrane, chloroplast envelope, vascular leaf, juvenile vascular leaf, ATP synthesis coupled proton transport, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular respiration, chloroplast, chloroplast envelope, chloroplast thylakoid, chloroplast thylakoid membrane, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrial ATP synthesis coupled proton transport, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, proton-transporting ATP synthase activity, rotational mechanism, proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, thylakoid, vascular leaf, vascular leaf senescent stage	false
Gene:4515102135	AT5G14030	AT5G14030.4	protein_coding	translocon-associated protein beta (TRAPB) family protein;(source:Araport11)		 Golgi apparatus, extracellular region, plasmodesma, vacuolar membrane, cultured plant cell, Golgi apparatus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, biological process unknown, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, endoplasmic reticulum, endoplasmic reticulum membrane, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, plastid, pollen, pollen tube cell, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:5019474496	AT5G19380	AT5G19380.2	protein_coding	Encodes one of the CRT-Like transporters (CLT1/AT5G19380, CLT2/AT4G24460, CLT3/AT5G12170). Required for glutathione homeostasis and stress responses.  Mutants lacking these transporters are heavy metal-sensitive, glutathione(GSH)-deficient, and hypersensitive to Phytophthora infection.	CLT1; CRT (CHLOROQUINE-RESISTANCE TRANSPORTER)-LIKE TRANSPORTER 1	 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast membrane, collective leaf structure, cotyledon, defense response to oomycetes, flower, flower pedicel, flowering stage, glutathione transport, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to cadmium ion, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6530297489	AT4G23100	AT4G23100.3	protein_coding	Encodes the enzyme glutamate-cysteine ligase catalyzing the first, and rate-limiting, step of glutathione biosynthesis.  Required for cell proliferation at the root tip. Involved in susceptibility to the bacterial pathogen Pseudomonas syringae. Mutants are phytoalexin defective.	ATECS1; ATGSH1; CAD2; CADMIUM SENSITIVE 2; GLUTAMATE-CYSTEINE LIGASE; GSH1; GSHA; PAD2; PHYTOALEXIN DEFICIENT 2; RML1; ROOT MERISTEMLESS 1	 chloroplast, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, defense response by callose deposition in cell wall, defense response to bacterium, defense response to bacterium, incompatible interaction, defense response to fungus, defense response to insect, flower, flower development, flower pedicel, flowering stage, glucosinolate biosynthetic process, glutamate-cysteine ligase activity, glutathione biosynthetic process, guard cell, hypocotyl, indole phytoalexin biosynthetic process, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to cadmium ion, response to heat, response to jasmonic acid, response to ozone, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532551018	AT5G19230	AT5G19230.2	protein_coding	Glycoprotein membrane precursor GPI-anchored;(source:Araport11)		 extracellular region, anchored component of membrane, anchored component of plasma membrane, biological process unknown, cell-to-cell mobile RNA, extracellular region, guard cell, molecular function unknown, plant callus, plasma membrane, plastid, rosette leaf	true
Gene:6532562202	AT3G48870	AT3G48870.4	protein_coding	Encodes a nuclear encoded protein with similarity to Clpa regulatory subunit of CLP protease complex. The protein is localized to the chloroplast stroma.  May function redundantly with TIC complex  in chloroplast protein import.		 chloroplast, ATP binding, ATPase activity, Tic complex, chloroplast, chloroplast envelope, chloroplast membrane, chloroplast organization, chloroplast stroma, guard cell, mitochondrion, plastid, plastid stroma, protein binding, protein hexamerization, protein homodimerization activity, protein import into chloroplast stroma, protein metabolic process, rosette leaf, seed development stage, vascular leaf	true
Gene:6532555381	AT5G15640	AT5G15640.2	protein_coding	Mitochondrial substrate carrier family protein;(source:Araport11)		 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane transport, transmembrane transporter activity, vascular leaf, vascular leaf senescent stage	true
Gene:2059712	AT2G01910	AT2G01910.1	protein_coding	Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria. The mRNA is cell-to-cell mobile.	ATMAP65-6; MAP65-6	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT microtubule nucleation, NOT positive regulation of microtubule polymerization, carpel, cauline leaf, cell cycle, cell division, cell-to-cell mobile RNA, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, microtubule, microtubule binding, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, phragmoplast, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, preprophase band, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2127850	AT4G32400	AT4G32400.1	protein_coding	Encodes a  plastidial nucleotide uniport   carrier protein required to export newly synthesized adenylates into the cytosol.	ARABIDOPSIS THALIANA BRITTLE 1; ATBT1; EMB104; EMB42; EMBRYO DEFECTIVE 104; EMBRYO DEFECTIVE 42; SHS1; SODIUM HYPERSENSITIVE 1	 chloroplast, mitochondrion, embryo development ending in seed dormancy, chloroplast envelope, plant callus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, anther, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, collective leaf structure, cotyledon, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrial inner membrane, mitochondrion, nucleotide transmembrane transporter activity, nucleotide transport, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, root, root tip, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane transport, transmembrane transporter activity, vascular leaf, vascular leaf senescent stage	true
Gene:2156736	AT5G52450	AT5G52450.1	protein_coding	MATE efflux family protein;(source:Araport11)		 vacuolar membrane, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, antiporter activity, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, drug transmembrane transport, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen tube cell, response to nematode, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:2182269	AT5G12860	AT5G12860.1	protein_coding	AtpOMT1 encodes dicarboxylate transporter functions both as as an oxaloacetate/malate  transporter and as a 2-oxoglutarate/malate transporter.	DICARBOXYLATE TRANSPORTER 1; DIT1	 chloroplast, chloroplast thylakoid, chloroplast envelope, vascular leaf, plant callus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, N-terminal protein myristoylation, alpha-ketoglutarate transmembrane transporter activity, alpha-ketoglutarate transport, ammonia assimilation cycle, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, chloroplast thylakoid, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, malate transmembrane transport, malate transmembrane transporter activity, mature plant embryo stage, mitochondrion, oxaloacetate transmembrane transporter activity, oxaloacetate transport, oxoglutarate:malate antiporter activity, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to nematode, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transporter activity, vascular leaf, vascular leaf senescent stage	false
Gene:2164594	AT5G56950	AT5G56950.1	protein_coding	Encodes a member of a small gene family of proteins with similarity to nucleosome assembly proteins.May function in nucleotide excision repair. Loss of function mutations have no obvious visible phenotypes but do seem to affect transcription of NER related genes. Plants mutated in three ubiquitously expressed NAP1 genes (NAP1;1~NAP1;3) and organ-specifically expressed NAP1;4 gene show hypersensitivity to genotoxic stresses including UV and DSB-inducing agent Bleomycin. The NAP1 genes act synergistically with NRP genes in promoting somatic homologous recombination.	NAP1;3; NFA03; NFA3; NUCLEOSOME ASSEMBLY PROTEIN 1;3; NUCLEOSOME/CHROMATIN ASSEMBLY FACTOR GROUP A 03; NUCLEOSOME/CHROMATIN ASSEMBLY FACTOR GROUP A3	 cytosol, nucleus, DNA mediated transformation, DNA repair, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chromatin binding, collective leaf structure, cotyledon, cytoplasm, cytosol, double-strand break repair via homologous recombination, flower, flower pedicel, flowering stage, guard cell, histone binding, hypocotyl, identical protein binding, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleosome assembly, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, somatic cell DNA recombination, stamen, stem, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:2169701	AT5G05520	AT5G05520.1	protein_coding	Outer membrane OMP85 family protein;(source:Araport11)		 nucleus, plant callus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, SAM complex, carpel, cauline leaf, cellular protein-containing complex assembly, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, molecular function unknown, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plastid, pollen, protein insertion into mitochondrial outer membrane, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2169748	AT5G24300	AT5G24300.1	protein_coding	SSI is a plastidial enzyme and crucial for the synthesis of normal amylopectin in the leaves of Arabidopsis. The absence of SSI results in a deficiency in the number of shorter glucans which in turn affect the formation and connection of the amylopectin clusters in starch.	ATSS1; SS1; STARCH SYNTHASE 1	 chloroplast, chloroplast stroma, cotyledon, vascular leaf, seedling development stage, IL.00 inflorescence just visible stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, alpha-1,4-glucan synthase activity, amylopectin biosynthetic process, amyloplast, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, glycogen (starch) synthase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, starch biosynthetic process, starch synthase activity, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2170896	AT5G43810	AT5G43810.1	protein_coding	Encodes Argonaute10, a member of the EIF2C (elongation initiation factor 2c)/  Argonaute class of proteins. Required to establish the central-peripheral organization of the embryo apex. Along with WUS and CLV genes, controls the relative organization of central zone and peripheral zone cells in meristems. Acts in embryonic provascular tissue potentiating WUSCHEL function during meristem development in the embryo. AGO10 specifically sequesters miR166/165 to regulate shoot apical meristem development.	AGO10; ARGONAUTE 10; PINHEAD; PNH; ZLL; ZWILLE	 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cotyledon adaxial epidermis, cytoplasm, defense response to virus, flower, flower pedicel, flowering stage, gene silencing by RNA, guard cell, hypocotyl, inflorescence meristem, initial cell, leaf apex, leaf lamina base, mature plant embryo stage, miRNA binding, miRNA metabolic process, multicellular organism development, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant proembryo stage, plastid, portion of vascular tissue, primary shoot apical meristem specification, protein binding, regulation of meristem structural organization, regulation of shoot apical meristem development, regulation of translation, root, rosette leaf, seed, sepal, shoot apex, shoot system, somatic stem cell population maintenance, stamen, stem, translation initiation factor activity, vascular leaf, vascular leaf senescent stage	true
Gene:2173566	AT5G60980	AT5G60980.1	protein_coding	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein;(source:Araport11)	NTF2	 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, gene silencing by RNA, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, response to abscisic acid, ribonucleoprotein complex, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2174818	AT5G64580	AT5G64580.1	protein_coding	Strong interaction with TIC inner envelope protein translocon which consists of Tic20/Tic56/Tic100/Tic214(Ycf1)(DOI:10.1105/tpc.18.00357).	EMB3144; EMBRYO DEFECTIVE 3144; FTSH (FILAMENTATION-TEMPERATURE-SENSITIVE PROTEIN H) INACTIVE 4; FTSHI4	 chloroplast, chloroplast envelope, ATP-dependent peptidase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, Ycf2/FtsHi complex, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, chloroplast protein-transporting ATPase activity, collective leaf structure, cotyledon, embryo development, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, protein binding, protein import into chloroplast stroma, proteolysis, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:1006227956	AT3G20320	AT3G20320.2	protein_coding	Encodes a permease-like component of an ABC transporter involved in lipid transfer from ER to chloroplast. A phosphatidic acid-binding protein with a predicted mycobacterial cell entry domain. It is tethered to the inner chloroplast envelope membrane facing the outer envelope membrane. Presumed bacterial orthologs of TGD1 and TGD2 in Gram-negative bacteria are typically organized in transcriptional units, suggesting their involvement in a common biological process. Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.	ABCI15; ATP-BINDING CASSETTE I15; TGD2; TRIGALACTOSYLDIACYLGLYCEROL2	 chloroplast, vascular leaf, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, intracellular lipid transport, leaf apex, leaf lamina base, lipid transport, lipid transporter activity, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phospholipid binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009022034	AT4G23100	AT4G23100.2	protein_coding	Encodes the enzyme glutamate-cysteine ligase catalyzing the first, and rate-limiting, step of glutathione biosynthesis.  Required for cell proliferation at the root tip. Involved in susceptibility to the bacterial pathogen Pseudomonas syringae. Mutants are phytoalexin defective.	ATECS1; ATGSH1; CAD2; CADMIUM SENSITIVE 2; GLUTAMATE-CYSTEINE LIGASE; GSH1; GSHA; PAD2; PHYTOALEXIN DEFICIENT 2; RML1; ROOT MERISTEMLESS 1	 chloroplast, response to cadmium ion, cotyledon, vascular leaf, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, defense response by callose deposition in cell wall, defense response to bacterium, defense response to bacterium, incompatible interaction, defense response to fungus, defense response to insect, flower, flower development, flower pedicel, flowering stage, glucosinolate biosynthetic process, glutamate-cysteine ligase activity, glutathione biosynthetic process, guard cell, hypocotyl, indole phytoalexin biosynthetic process, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to cadmium ion, response to heat, response to jasmonic acid, response to ozone, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:4010713122	AT5G14740	AT5G14740.5	protein_coding	Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform.	BETA CA2; BETA CARBONIC ANHYDRASE 2; CA18; CA2; CARBONIC ANHYDRASE 18; CARBONIC ANHYDRASE 2	 chloroplast, apoplast, defense response to bacterium, cotyledon, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carbon utilization, carbonate dehydratase activity, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, regulation of stomatal movement, response to carbon dioxide, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:4010713180	AT5G28020	AT5G28020.6	protein_coding	Encodes cysteine synthase CysD2.	ATCYSD2; CYSD2; CYSTEINE SYNTHASE D2	 chloroplast, vascular leaf, L-3-cyanoalanine synthase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cysteine biosynthetic process, cysteine biosynthetic process from serine, cysteine synthase activity, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pyridoxal phosphate binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532553876	AT5G20720	AT5G20720.4	protein_coding	Encodes a chloroplast co-chaperonin with similarity to CPN21 from spinach, E.coli GroES.		 chloroplast, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, apoplast, calmodulin binding, carpel, cauline leaf, chaperone binding, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, collective leaf structure, copper ion binding, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, mitochondrial matrix, mitochondrion, negative regulation of abscisic acid-activated signaling pathway, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, positive regulation of superoxide dismutase activity, protein binding, protein heterotetramerization, response to cadmium ion, response to cold, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, thylakoid, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
